Fecha,Muestreo No,Punto de muestreo,Punto,Rio,Cordenadas,ICA_IDEAM,OD (%),pH,DQO (mg/L),CE (µS/cm),SST (mg/L)
"Diciembre 6 de 2016,2,""Intermedio (Pasoancho-Cra 80 Con Cll13 ,Intermedio,Melendez,3.383499; -76.53819 ,0.89,78.73,7.49,12,76.5,26.5"
"Diciembre 6 de 2016,2,""Intermedio  (Av Simon Bolivar-Cra 80 Simon Bolivar ,Intermedio,Melendez,3.387783; -76.523454 ,0.87,78.67,7.28,12,110.4,18.75"
"Diciembre 6 de 2016,2,Salida del perimetro urbano (Aguas del Sur - PTAR Caney),Salida,Melendez,3.388238; -76.511798 ,0.87,80.6,7.52,16.27,121.5,20"
"Diciembre 5 de 2016,2,Entrada al perimetro urbano(Puente Sede DeporCali),Entrada,Pance,3.337867; -76.550058 ,0.96,96.13,7.38,12,32.3,7"
"Diciembre 5 de 2016,2,""Intermedio (Mina Material de arrastre-Entrada via destapada ,Intermedio,Pance,3.319117; -76.547228 ,0.97,101.64,7.15,12,35.4,7.12"
"Diciembre 5 de 2016,2,""Salida ( Puente La Viga-Via Cañas Gordas ,Salida,Pance,3.310437; -76.543845 ,0.94,93.37,6.9,12,35.2,11"
"Abril 5 de 2017,1,Entrada al perimetro urbano (Puente Azul),Entrada,Aguacatal,3.455889; -76.571089 ,0.7,54.74,8.16,12,247,7"
"Abril 5 de 2017,1,Intermedio (Despues de la Quebrada el Chocho  En el Sifon),Intermedio,Aguacatal,3.459351; -76.555948 ,0.67,51.68,8.15,12,400,7"
"Abril 5 de 2017,1,""Salida(El Ancla-antes de desembocar el Rio Cali ,Salida(El,Aguacatal,3.457582; -76.561671 ,0.6,47.45,6.12,12,380,7.43"
"Mayo 30 de 2017,1,Entrada al perimetro urbano (Bocatoma Acueducto San Antonio),Entrada,Cali,3.454159; -76.582725 ,0.84,59.35,7.56,12,104,7"
"Mayo 30 de 2017,1,""Intermedio (Despues de la entrega del Rio Aguacatal-Frente al Museo La Tertulia ,Intermedio,Cali,3.450854; -76.545478 ,0.76,59.39,7.17,12,196,17.6"
"Mayo 30 de 2017,1,Intermedio (Frente a la Clinica Los Remedios),Intermedio,Cali,3.462238; -76.522464 ,0.75,54.16,7.38,12,193,24.5"
"Mayo 30 de 2017,1,""Intermedio (Frente al barrio La Isla-Puente Cancha Vivero ,Intermedio,Cali,3.472989; -76.514449 ,0.75,49.3,7.56,12,189,25"
"Mayo 30 de 2017,1,Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A),Intermedio,Cali,3.488176; -76.503429 ,0.76,47.74,7.88,12,163,26.5"
"Mayo 30 de 2017,1,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,3.505551; -76.494079 ,0.62,44.87,7.48,27.8,216,43.5"
"Abril 25 de 2017,1,Entrada al perimetro urbano (Colegio Ideas),Entrada,Canaveralejo,3.411012; -76.568899 ,0.76,50.74,7.87,12,184,13"
"Abril 25 de 2017,1,Intermedio  (Plaza de Toros),Intermedio,Canaveralejo,3.410114; -76.548981 ,0.62,45.08,7.79,12.9,219,184"
"Abril 25 de 2017,1,""Salida (Antes de desemboocar al Canal Sur-Cra 50 Cll 17 ,Salida,Canaveralejo,3.406276; -76.526477 ,0.29,10,6.65,112.8,465,205"
"Abril 4 de 2017,1,Entrada (Al lado de la ecas la riverita - inicio del perimetro urbano),Entrada,Lili,3.363799; -76.544643 ,0.71,71.86,6.71,12,257,14.3"
"Abril 4 de 2017,1,Salida (Despues del puente via panamericana)**,Salida,Lili,3.362489; -76.523748 ,0.83,69.92,6.98,12,151,8.5"
"Abril 25 de 2017,1,""Entrada al perimetro urbano (Via a La Buitrera-puente Base Militar ,Entrada,Melendez,3.376495; -76.562282 ,0.92,81.83,7.3,12,60,9.62"
"Abril 25 de 2017,1,""Intermedio (Pasoancho-Cra 80 Con Cll13 ,Intermedio,Melendez,3.383499; -76.53819 ,0.87,63.03,7.62,12,67,10.75"
"Abril 25 de 2017,1,""Intermedio  (Av Simon Bolivar-Cra 80 Simon Bolivar ,Intermedio,Melendez,3.387783; -76.523454 ,0.86,56.84,7.73,12,73,10.16"
"Abril 25 de 2017,1,Salida del perimetro urbano (Aguas del Sur - PTAR Caney),Salida,Melendez,3.388238; -76.511798 ,0.84,45.73,7.2,12,36,7.87"
"Abril 3 de 2017,1,Entrada perimetro urbano K122 Av 10 de Mayo,Entrada,Pance,3.34158; -76.552158 ,0.88,57.57,7,12,40,7"
"Abril 3 de 2017,1,Salida perimetro urbano K 127 Av  el Banco,Salida,Pance,3.33235; -76.550769 ,0.86,45.73,7.2,12,36,7.87"
